     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    280576,       222,         0,    5.96,chromobius,4379df360ef72cd398a33dfd12c2aa2910be0cc966516b227a32b869053e1f71,"{""d"":7,""p"":0.00018873918221350977,""r"":28}",
      5120,        60,         0,   0.305,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
    283648,       298,         0,    5.97,chromobius,4c19e83f76f32eec0db52a2822374ef7f4dc006a26cea33b54a6950661613d2a,"{""d"":7,""p"":0.000221221629107045,""r"":28}",
      7168,        77,         0,   0.432,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
    238592,       344,         0,    5.97,chromobius,9d5ae15aed89a7201e4b85a900d908f1f0e4101735835a12ca6ed03d8fc1a459,"{""d"":7,""p"":0.0002592943797404667,""r"":28}",
     10240,       146,         0,   0.589,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
     81920,       381,         0,    4.26,chromobius,9cb6fe268404e3b83e6891e273365c82e0e7f6f9a5c76e2e1fc224ede16edc52,"{""d"":7,""p"":0.00041753189365604,""r"":28}",
     60416,       482,         0,    3.05,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
     13312,       174,         0,   0.822,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
    182272,       451,         0,    5.97,chromobius,b6e2d8cbb246ade578edc36bec96423bc615910a1b46a4125ee149c8d12fdcea,"{""d"":7,""p"":0.0003039195382313198,""r"":28}",
     19456,       206,         0,    1.14,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
    161792,       557,         0,    5.97,chromobius,fdcdaa8a6d0e4f8443a122a24813993d8a0ccab1310d147fd7989333c6afb0ba,"{""d"":7,""p"":0.0003562247890262444,""r"":28}",
     27648,       300,         0,    1.60,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
     88064,       649,         0,    4.30,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
    752640,       133,         0,    8.30,chromobius,c231a2c617033823668e2229d87e3313af9499a902dd252c02b0c6c5a73551b9,"{""d"":7,""p"":0.0001,""r"":28}",
    524288,       158,         0,    8.31,chromobius,e237c3fe94c11a918b39f51cae3a6e363feef7644e7f0baa16aca32c95b765b6,"{""d"":7,""p"":0.00011721022975334806,""r"":28}",
     37888,       460,         0,    2.22,chromobius,ba0a4d529435be15c87c68a47844f2447c78259e5c81ab72f4fe7d8399909f58,"{""d"":7,""p"":0.0005736152510448681,""r"":28}",
    444416,       161,         0,    8.32,chromobius,4a36b7e21a3f27d16a040063e2c5deb44e611e0ee373e0558f774b06c456436f,"{""d"":7,""p"":0.00013738237958832623,""r"":28}",
    113664,       558,         0,    5.98,chromobius,9cb6fe268404e3b83e6891e273365c82e0e7f6f9a5c76e2e1fc224ede16edc52,"{""d"":7,""p"":0.00041753189365604,""r"":28}",
